# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.737934303283691406e+01 2.649037726223468781e-02 2.045473785400390625e+02 2.649037726223468781e-02
1.000000000000000000e+03 6.996798515319824219e-01 7.938765920698642731e-03 3.538124465942382812e+01 7.938765920698642731e-03
2.000000000000000000e+03 1.076571121811866760e-01 2.863888163119554520e-03 3.664968872070312500e+01 2.863888163119554520e-03
3.000000000000000000e+03 2.627828717231750488e-02 1.320467097684741020e-03 3.459110641479492188e+01 1.320467097684741020e-03
4.000000000000000000e+03 2.661910466849803925e-02 8.690477698110044003e-04 3.320483016967773438e+01 8.690477698110044003e-04
5.000000000000000000e+03 1.085775531828403473e-02 6.878902786411345005e-04 3.053774261474609375e+01 6.878902786411345005e-04
6.000000000000000000e+03 1.258256100118160248e-02 5.821980885230004787e-04 2.840953826904296875e+01 5.821980885230004787e-04
7.000000000000000000e+03 4.917681589722633362e-02 5.181508022360503674e-04 2.513676643371582031e+01 5.181508022360503674e-04
8.000000000000000000e+03 1.215644739568233490e-02 4.508184792939573526e-04 2.378257560729980469e+01 4.508184792939573526e-04
9.000000000000000000e+03 1.682207919657230377e-02 4.018687468487769365e-04 2.229798889160156250e+01 4.018687468487769365e-04
1.000000000000000000e+04 4.680485464632511139e-03 3.642438969109207392e-04 2.058199691772460938e+01 3.642438969109207392e-04
